"GeneName","log2FoldChange","pvalue","padj"
"BANK1",-1.05145539871042,0.000704824317311627,0.00173098436553104
"BARHL2",1.84317474268218,0.0154133946745697,0.0282479755353894
"BBOX1",-2.505703933185,5.50254364801229e-11,4.90451966449299e-10
"BCAS1",1.25364743815457,6.06962054467808e-05,0.00018475380228464
"BCAS4",1.22262349662622,5.04794263120978e-09,3.24359344848439e-08
"BCHE",-1.04384774450519,0.00140825680134396,0.00324341332420603
"BCL2L15",1.22759049700212,2.34072755944579e-08,1.34076535778388e-07
"BECN2",2.1510122024574,0.000243382713487123,0.000658426329579037
"BEND2",-1.74797686525498,0.000485336890868829,0.00123804578366405
"BEX1",2.98967924886438,2.57530900297514e-10,2.0613324569115e-09
"BGN",1.5674602962565,6.87725781374467e-14,9.60489962604899e-13
"BHLHE41",-1.25405460106722,5.22418001335775e-13,6.39356154469826e-12
"BHMT2",-2.82276084447116,2.5493600434755e-22,1.22899859557801e-20
"BICDL1",1.67925592939952,1.69780318515768e-11,1.64447086684778e-10
"BICDL2",1.01210164833839,2.02304337614035e-05,6.73366020800792e-05
"BIK",1.58878055981507,1.42195841971179e-12,1.61922531318979e-11
"BIRC5",2.41978313152566,5.3484258967605e-16,1.03767110810081e-14
"BLK",1.73439154238003,5.05764191851793e-06,1.90076870993925e-05
"BLM",1.57472651040734,1.49414857421171e-17,3.75892159186452e-16
"BLOC1S5-TXNDC5",-2.16398699132327,2.12755829714692e-17,5.24135438339929e-16
"BMP2",-2.15080353622753,1.48779363332976e-16,3.20398551830675e-15
"BMP3",-3.41795685934392,6.20469847132274e-24,3.96808224795636e-22
"BMP5",-2.05632233877957,1.98644593343088e-08,1.15242987353653e-07
"BMP6",-2.02393060128028,5.55739180863161e-18,1.47220502110389e-16
"BMP8A",1.76810841316507,4.16006651542609e-14,6.09693699027803e-13
"BMPER",-2.24166095310032,2.82843437785297e-16,5.75195744892285e-15
"BMPR1B",1.56001155106647,0.000591790133544866,0.00148017669167121
"BMX",-2.62521169683993,2.76673644784074e-27,2.66379436895824e-25
"BNC1",-1.53346412563421,3.01561539878041e-06,1.18002881920962e-05
"BNIP5",1.66415002374255,0.00047560790184933,0.00121616807858457
"BOC",-1.29197515323271,8.6917324294294e-10,6.35453293936035e-09
"BOK",-1.05661246216261,1.15390151368275e-07,5.83194316986114e-07
"BOLA2B",1.07840109167641,2.9891602624185e-07,1.40709070692384e-06
"BOP1",1.34568224490018,1.40516574461347e-10,1.17991680606491e-09
"BPIFA2",1.98964497946172,0.00299076297022622,0.00639065720063864
"BPIFB1",1.47099029018673,0.000364304560599635,0.00095318355580492
"BPIFB6",2.1113596467457,0.00950399924860665,0.0182915150195597
"BRCA2",1.25952107621627,9.57235947542698e-15,1.56469359618124e-13
"BRDT",1.89970933973029,3.43581380922615e-05,0.000109386268006104
"BRF2",1.00049888248284,3.7100556929149e-08,2.04970325279888e-07
"BRI3BP",1.09152918599683,2.07132843141365e-19,6.7252670472258e-18
"BRINP2",1.62112840326294,6.86978477060601e-05,0.000206622683428863
"BRINP3",2.40091828901646,0.000165619304393016,0.000463704756432922
"BRIP1",1.35450792664718,3.06877276926953e-09,2.0359158218479e-08
"BRS3",-1.82299642523809,9.6313840200147e-05,0.000282181872707326
"BRSK1",1.02884573359008,1.7550418348731e-06,7.14582306786275e-06
"BRSK2",3.80758770326523,3.37046065428381e-33,7.8071377643252e-31
"BSN",1.14262863141731,1.29045573392383e-06,5.38464767358286e-06
"BST1",-1.15135518077979,3.83548516657352e-12,4.10892302616455e-11
"BTN1A1",-1.55499135680566,5.13622408120791e-06,1.92610938200322e-05
"BTNL2",-1.47624251373386,7.78874698804443e-06,2.80082279990375e-05
"BTNL9",-3.70318582791623,1.65526654192299e-43,3.93001658716066e-40
"BUB1",2.04287055649616,5.91353877211767e-16,1.13801170656133e-14
"BUB1B",2.14399990977985,2.2556360085175e-18,6.33780330558897e-17
"BVES",-1.22376758761152,1.02856655140258e-13,1.40248335085001e-12
"C10orf105",-1.26775029729948,1.17145239916759e-06,4.92884088102774e-06
"C10orf82",2.36596938176538,6.13471099478673e-09,3.86990038641578e-08
"C10orf90",-1.78350226417957,5.10255837789105e-06,1.91575397963358e-05
"C10orf95",1.08326014667455,3.49761142072498e-09,2.29794643117435e-08
"C11orf87",-2.29887408357107,7.21056739750399e-10,5.34781402374818e-09
"C11orf96",-1.24423092522888,3.92129670340859e-07,1.80472763713455e-06
"C12orf40",-1.54645660320355,0.00107875679242285,0.00254722855734455
"C12orf42",1.33755901521415,1.08134997742364e-05,3.77974999469722e-05
"C12orf54",-1.51212443486987,2.98939174807437e-10,2.36585445262186e-09
"C12orf56",2.07458332659378,5.9457672394225e-07,2.64460760681649e-06
"C13orf42",-2.21621631054853,4.48114016086196e-06,1.70229552430824e-05
"C14orf180",-4.52536054561894,4.50210545651745e-21,1.84295239312699e-19
"C16orf78",-1.51682078007792,0.00319611888772917,0.00678518857198254
"C16orf92",2.65122210925863,2.21329379283295e-09,1.50894839558754e-08
"C19orf33",1.57647009907883,2.01411370182073e-07,9.77916044283815e-07
"C1orf122",1.08440388259031,1.18360592913867e-09,8.46757477139733e-09
"C1orf127",1.48775492037828,1.08922685402619e-08,6.59298115531338e-08
"C1orf159",1.04306322622558,6.33310089004756e-12,6.56968423296359e-11
"C1orf167",1.84225190076083,7.71599000436024e-07,3.35756046146205e-06
"C1orf185",-2.04501352285995,0.000787130852122905,0.00191284076320656
"C1orf35",1.19567749913707,2.14643453388615e-12,2.37722317997863e-11
"C1QL1",1.79329707697593,6.30351187142415e-09,3.96716051974256e-08
"C1QL4",1.68474529910266,3.55887327383435e-05,0.000112982181118518
"C1QTNF1",-1.62218525025373,1.70599601637072e-12,1.91964978287592e-11
"C1QTNF6",1.48603867561517,3.96259918950551e-16,7.92269568478607e-15
"C1QTNF7",-1.91358023962317,9.9011760137815e-10,7.15467064000562e-09
"C1QTNF9",-3.72454430265698,4.27328555839088e-41,3.52899069113376e-38
"C1QTNF9B",-1.31017051286078,1.11173792749687e-08,6.7228112686646e-08
"C1R",-1.01365594588039,2.00811164791192e-08,1.16393264084342e-07
"C20orf144",1.75419896366643,2.74144311370644e-19,8.72210561168176e-18
"C20orf204",1.9196389650933,1.21289315452875e-17,3.08402845744567e-16
"C20orf85",2.99975126300065,1.7309831899614e-05,5.84191448296497e-05
"C21orf58",1.45751599404128,1.89801893793162e-17,4.68803273173903e-16
"C2CD2",-1.49459348868188,3.88649009757275e-15,6.69265574916562e-14
"C2CD4B",-1.54620237275977,1.34782071333819e-05,4.62784263207331e-05
"C2orf50",1.27463321889347,2.5228850928347e-06,1.00178402857084e-05
"C2orf88",-1.65718334200922,4.33738983964338e-10,3.3354001058375e-09
"C3",-1.32434197360876,1.12223760755901e-11,1.12070352881051e-10
"C3orf52",1.53836817420984,1.59288664843558e-12,1.79663236344332e-11
"C3orf80",1.35935614865159,2.93657897243728e-12,3.18727891442706e-11
"C4BPA",-3.47715826929549,7.48207888057557e-18,1.95750146360403e-16
"C4orf45",-1.2193088159443,0.000261036823542425,0.000701291856628689
"C4orf48",1.57086331845211,2.02376257250218e-10,1.6462246810324e-09
"C4orf50",2.05736849531571,1.34442547234792e-09,9.5212592922358e-09
"C4orf51",1.03145016965915,0.0218082855195819,0.0386621780062477
"C5AR2",1.27013481846031,1.19079810675715e-06,5.00730999330203e-06
"C5orf46",1.06808118707774,0.000778502508516384,0.00189308368285241
"C5orf49",1.18244057867552,8.98439862959394e-06,3.18667926628048e-05
"C6",-3.5147144572583,1.16973263169398e-15,2.16971695374956e-14
"C6orf118",1.20237402155895,0.0184925463144033,0.0332904392660198
"C6orf141",2.21102831905399,1.62873834639778e-14,2.56519536911107e-13
"C6orf58",-1.42724953884878,4.2877356407155e-08,2.3402658264296e-07
"C7",-1.60110929241266,1.9858074946963e-05,6.62540445358537e-05
"C8B",-2.03966521956615,5.52191116986946e-05,0.000169275630665753
"C8orf34",-2.46269960595569,6.38143924157008e-22,2.89973820465029e-20
"C8orf74",2.34921479007779,0.000568980949549124,0.00142933793886206
"C8orf88",-2.0415673665394,4.16929702831348e-27,3.93988197789982e-25
"CA12",1.46465721783633,7.58266495220302e-07,3.30560335327391e-06
"CA14",1.01512545014281,1.30348901551038e-06,5.43306349804786e-06
"CA3",-3.97987773689301,4.03531589099519e-30,5.94161163050874e-28
"CA4",-5.34690144491658,5.00772828994618e-39,2.71762260397822e-36
"CA6",-1.45788422366235,0.00490080878316341,0.0100207264000867
"CA9",2.99764478461473,1.01018845870754e-17,2.5894088508355e-16
"CABP1",-1.96816018448116,1.29315320973448e-20,4.92227496306546e-19
"CABP7",2.10201693112406,7.60299854354044e-16,1.43979416087744e-14
"CACFD1",1.02089600712861,1.53891106116362e-10,1.28145886434642e-09
"CACHD1",-1.87236310219457,1.93437586832011e-23,1.11676398914505e-21
"CACNA1B",1.77000238489445,1.47471361556513e-07,7.32880963214128e-07
"CACNA1D",1.27174312280023,1.60529131425206e-06,6.57840414733629e-06
"CACNA1E",1.14468791691142,4.06136913794218e-07,1.86377495544996e-06
"CACNA1G",-1.21383891965228,5.4335038270919e-06,2.02360728807419e-05
"CACNA1H",3.12391391573103,4.93556497240256e-29,6.24974140572095e-27
